account_id,customer_id,branch_id,account_type,account_number,open_date,balance,status,currency,nominee_registered
ACC0000001,CUST000135,BR0042,Fixed Deposit,100000000001,2014-08-06,959274.87,Inactive,INR,Yes
ACC0000002,CUST000214,BR0001,Savings,100000000002,2022-10-11,41030.27,Active,INR,No
ACC0000003,CUST000569,BR0048,Savings,100000000003,2014-04-02,341049.42,Active,INR,No
ACC0000004,CUST000396,BR0038,Current,100000000004,2023-01-02,173314.82,Closed,INR,Yes
ACC0000005,CUST000434,BR0029,Fixed Deposit,100000000005,2021-11-22,863373.26,Active,INR,No
ACC0000006,CUST000154,BR0048,Savings,100000000006,2020-03-19,1015232.92,Frozen,INR,Yes
ACC0000007,CUST000942,BR0024,Savings,100000000007,2013-07-24,631230.28,Active,INR,Yes
ACC0000008,CUST000725,BR0035,Salary,100000000008,2014-05-17,884586.89,Active,INR,Yes
ACC0000009,CUST000130,BR0013,Current,100000000009,2012-02-28,752480.9,Active,INR,Yes
ACC0000010,CUST000387,BR0048,Savings,100000000010,2014-01-06,623748.92,Active,INR,No
ACC0000011,CUST000164,BR0014,Salary,100000000011,2022-05-22,414336.02,Active,INR,No
ACC0000012,CUST000414,BR0034,Salary,100000000012,2022-03-24,212740.92,Active,INR,No
ACC0000013,CUST000492,BR0030,Savings,100000000013,2020-02-23,674668.54,Active,INR,Yes
ACC0000014,CUST000389,BR0010,Fixed Deposit,100000000014,2012-09-24,390858.37,Active,INR,No
ACC0000015,CUST000392,BR0043,Current,100000000015,2014-04-17,471298.43,Active,INR,Yes
ACC0000016,CUST000736,BR0029,Recurring Deposit,100000000016,2022-07-07,211071.02,Active,INR,Yes
ACC0000017,CUST000204,BR0029,Salary,100000000017,2016-11-14,1110991.08,Active,INR,Yes
ACC0000018,CUST000980,BR0002,Savings,100000000018,2015-11-14,186652.38,Closed,INR,Yes
ACC0000019,CUST000759,BR0027,Fixed Deposit,100000000019,2014-04-05,879499.75,Active,INR,Yes
ACC0000020,CUST000656,BR0020,Savings,100000000020,2024-05-07,173075.61,Inactive,INR,No
ACC0000021,CUST000669,BR0024,Salary,100000000021,2017-06-26,947327.35,Active,INR,Yes
ACC0000022,CUST000328,BR0036,Fixed Deposit,100000000022,2017-12-25,501741.54,Active,INR,No
ACC0000023,CUST000755,BR0048,Fixed Deposit,100000000023,2016-11-27,194293.25,Active,INR,Yes
ACC0000024,CUST000965,BR0002,Current,100000000024,2017-11-08,1038587.09,Active,INR,No
ACC0000025,CUST000626,BR0046,Salary,100000000025,2016-01-18,1071979.65,Active,INR,No
ACC0000026,CUST000003,BR0012,Current,100000000026,2021-11-14,84324.03,Active,INR,Yes
ACC0000027,CUST000683,BR0039,Current,100000000027,2023-10-27,1092840.85,Active,INR,Yes
ACC0000028,CUST000503,BR0046,Fixed Deposit,100000000028,2019-05-01,166361.3,Closed,INR,Yes
ACC0000029,CUST000134,BR0010,Savings,100000000029,2014-03-18,162092.19,Active,INR,Yes
ACC0000030,CUST000562,BR0013,Savings,100000000030,2012-12-30,318741.22,Active,INR,No
ACC0000031,CUST000532,BR0033,Current,100000000031,2024-10-04,526324.75,Active,INR,No
ACC0000032,CUST000684,BR0033,Savings,100000000032,2017-04-23,765093.85,Active,INR,Yes
ACC0000033,CUST000818,BR0049,Salary,100000000033,2012-11-27,242793.24,Active,INR,No
ACC0000034,CUST000242,BR0025,Current,100000000034,2024-11-04,1026295.16,Active,INR,Yes
ACC0000035,CUST000472,BR0005,Savings,100000000035,2015-08-28,1144935.99,Inactive,INR,Yes
ACC0000036,CUST000024,BR0050,Savings,100000000036,2024-12-11,201392.35,Inactive,INR,No
ACC0000037,CUST000680,BR0002,Savings,100000000037,2016-06-16,573823.5,Active,INR,Yes
ACC0000038,CUST000059,BR0040,Salary,100000000038,2012-02-10,692070.74,Frozen,INR,Yes
ACC0000039,CUST000216,BR0044,Current,100000000039,2014-01-31,730632.3,Active,INR,No
ACC0000040,CUST000050,BR0041,Savings,100000000040,2015-05-28,139113.73,Active,INR,No
ACC0000041,CUST000420,BR0030,Salary,100000000041,2015-02-17,64677.4,Active,INR,Yes
ACC0000042,CUST000119,BR0008,Savings,100000000042,2014-05-06,155838.23,Active,INR,Yes
ACC0000043,CUST000633,BR0047,Savings,100000000043,2015-01-19,867737.73,Active,INR,No
ACC0000044,CUST000955,BR0016,Savings,100000000044,2025-12-21,896254.32,Active,INR,No
ACC0000045,CUST000586,BR0013,Savings,100000000045,2019-07-26,250478.09,Active,INR,Yes
ACC0000046,CUST000467,BR0042,Fixed Deposit,100000000046,2018-10-05,932090.18,Active,INR,No
ACC0000047,CUST000181,BR0007,Savings,100000000047,2012-07-05,947909.48,Active,INR,Yes
ACC0000048,CUST000945,BR0022,Fixed Deposit,100000000048,2024-12-05,798075.72,Frozen,INR,Yes
ACC0000049,CUST000611,BR0019,Savings,100000000049,2012-05-20,1008069.66,Active,INR,No
ACC0000050,CUST000991,BR0023,Salary,100000000050,2013-06-24,972652.3,Active,INR,Yes
ACC0000051,CUST000825,BR0014,Salary,100000000051,2024-10-04,715645.2,Active,INR,No
ACC0000052,CUST000844,BR0002,Salary,100000000052,2017-02-17,1162678.17,Active,INR,No
ACC0000053,CUST000196,BR0028,Fixed Deposit,100000000053,2024-04-30,392303.41,Active,INR,No
ACC0000054,CUST000781,BR0009,Savings,100000000054,2012-08-09,311599.04,Active,INR,Yes
ACC0000055,CUST000027,BR0010,Recurring Deposit,100000000055,2013-03-16,507240.52,Active,INR,Yes
ACC0000056,CUST000491,BR0015,Current,100000000056,2018-03-26,72840.6,Active,INR,Yes
ACC0000057,CUST000454,BR0047,Salary,100000000057,2013-11-30,517750.66,Inactive,INR,Yes
ACC0000058,CUST000423,BR0015,Savings,100000000058,2018-04-24,637491.12,Closed,INR,Yes
ACC0000059,CUST000351,BR0021,Savings,100000000059,2015-07-23,993407.28,Active,INR,Yes
ACC0000060,CUST000228,BR0045,Salary,100000000060,2018-05-27,39343.39,Active,INR,Yes
ACC0000061,CUST000631,BR0024,Fixed Deposit,100000000061,2021-02-04,1147928.59,Active,INR,No
ACC0000062,CUST000378,BR0028,Fixed Deposit,100000000062,2018-11-30,747676.24,Active,INR,No
