customer_id,first_name,last_name,dob,gender,phone,email,city,state,customer_since,kyc_status,occupation,annual_income,risk_category
CUST000001,Reyansh,Kumar,1992-12-17,Male,9834657871,reyansh.kumar1@example.com,Kochi,Kerala,2017-07-23,Verified,Doctor,356448,Low
CUST000002,Krishna,Singh,1961-05-15,Other,9031051834,krishna.singh2@example.com,Mumbai,Maharashtra,2022-11-20,Verified,Student,4145051,Low
CUST000003,Ira,Bose,1963-06-18,Male,9656670106,ira.bose3@example.com,Hyderabad,Telangana,2019-08-11,Verified,Business,2265880,Low
CUST000004,Sara,Yadav,1992-11-06,Male,9473178108,sara.yadav4@example.com,Bengaluru,Karnataka,2012-04-30,Rejected,Retired,1575118,Low
CUST000005,Ira,Patel,1960-04-05,Male,9606474687,ira.patel5@example.com,Jaipur,Rajasthan,2015-06-22,Verified,Retired,670593,Low
CUST000006,Sara,Verma,1983-02-19,Male,9097882081,sara.verma6@example.com,Bhopal,Madhya Pradesh,2016-03-02,Verified,Business,2153033,Low
CUST000007,Kiran,Singh,1958-07-26,Other,9169985435,kiran.singh7@example.com,Ahmedabad,Gujarat,2017-05-09,Verified,Student,2696557,Low
CUST000008,Pooja,Gupta,1996-02-12,Other,9911838425,pooja.gupta8@example.com,Mumbai,Maharashtra,2013-07-17,Pending,Doctor,2570647,Low
CUST000009,Vikas,Rao,1982-02-20,Other,9808412411,vikas.rao9@example.com,Bhopal,Madhya Pradesh,2024-05-29,Verified,Self Employed,1946889,Medium
CUST000010,Ayaan,Kumar,1998-10-30,Female,9016400524,ayaan.kumar10@example.com,Kochi,Kerala,2015-08-16,Verified,Consultant,3767697,Low
CUST000011,Arjun,Gupta,1968-05-16,Other,9059826204,arjun.gupta11@example.com,Bhopal,Madhya Pradesh,2020-03-06,Pending,Salaried,3181521,Low
CUST000012,Krishna,Mehta,2005-03-25,Female,9923226025,krishna.mehta12@example.com,Pune,Maharashtra,2021-03-26,Verified,Retired,2418128,Low
CUST000013,Amit,Mehta,1958-06-22,Female,9337543303,amit.mehta13@example.com,Jaipur,Rajasthan,2020-12-08,Verified,Business,2521470,Low
CUST000014,Anika,Chopra,2003-02-08,Female,9014294019,anika.chopra14@example.com,Chandigarh,Punjab,2021-09-29,Verified,Doctor,3840737,Low
CUST000015,Anika,Mehta,1972-01-20,Female,9060883561,anika.mehta15@example.com,Jaipur,Rajasthan,2019-05-28,Verified,Business,2699285,Low
CUST000016,Rohit,Bose,1991-02-06,Other,9482366299,rohit.bose16@example.com,Pune,Maharashtra,2018-10-01,Verified,Salaried,2729087,Low
CUST000017,Avni,Nair,1994-08-20,Female,9387214895,avni.nair17@example.com,Lucknow,Uttar Pradesh,2014-02-04,Verified,Retired,2783987,Low
CUST000018,Ayaan,Reddy,1959-02-23,Male,9791769367,ayaan.reddy18@example.com,Mumbai,Maharashtra,2020-12-17,Verified,Salaried,1074119,Medium
CUST000019,Krishna,Iyer,2001-06-20,Female,9083172788,krishna.iyer19@example.com,Bhopal,Madhya Pradesh,2025-05-09,Verified,Engineer,4414386,Low
CUST000020,Pooja,Rao,1969-04-12,Other,9774348734,pooja.rao20@example.com,Lucknow,Uttar Pradesh,2021-11-12,Verified,Self Employed,2147074,Low
